Plot	Art	SDW
LDC1	Achmil	1.475
LDC1	Dacglo	180.985
LDC1	Dacglo	288.265
LDC1	Fespra	4.725
LDC1	Hollan	145.885
LDC1	Hollan	128.665
LDC1	Plalan	97.535
LDC1	Plalan	36.075
LDC2	Achmil	3.11355
LDC2	Dacglo	39.81681
LDC2	Dacglo	16.86645
LDC2	Dacglo	12.37095
LDC2	Fespra	8.87445
LDC2	Fespra	4.97835
LDC2	Fespra	12.20445
LDC2	Hollan	160.24959
LDC2	Hollan	21.53511
LDC2	Hollan	105.43779
LDC2	Leuvul	9.14085
LDC2	Lotcor	9.10755
LDC2	Medsat	20.86245
LDC2	Plalan	45.23139
LDC2	Plalan	5.21145
LDC2	Plalan	3.94605
LDC2	Tripra	3.21345
LDC2	Tripra	4.04595
LDC3	Achmil	19.215
LDC3	Fespra	3.375
LDC3	Fespra	24.925
LDC3	Hollan	235.785
LDC3	Hollan	199.315
LDC3	Hollan	295.065
LDC3	Hollan	21.925
LDC3	Plalan	8.025
LDC3	Plalan	6.825
LDC3	Plalan	6.425
LDC3	Plalan	9.275
LDC4	Achmil	6.475
LDC4	Dacglo	50.475
LDC4	Dacglo	10.375
LDC4	Fespra	2.625
LDC4	Hollan	134.135
LDC4	Hollan	180.635
LDC4	Medsat	44.135
LDC4	Plalan	1.875
LDC4	Plalan	1.825
LDC5	Dacglo	249.385
LDC5	Dacglo	226.985
LDC5	Fespra	2.575
LDC5	Fespra	1.375
LDC5	Hollan	4.925
LDC5	Hollan	90.935
LDC5	Medsat	2.725
LDC5	Plalan	1.375
LDC5	Plalan	42.425
LDC6	Arrela	0.965
LDC6	Dacglo	234.385
LDC6	Fespra	8.965
LDC6	Hollan	79.865
LDC6	Hollan	68.435
LDC6	Leuvul	0.615
LDC6	Plalan	69.665
LDC6	Plalan	44.685
LDC7	Achmil	0.815
LDC7	Dacglo	117.135
LDC7	Dacglo	0.665
LDC7	Fespra	15.965
LDC7	Hollan	5.465
LDC7	Hollan	188.185
LDC7	Plalan	1.115
LDC8	Dacglo	79.765
LDC8	Dacglo	201.565
LDC8	Hollan	45.565
LDC8	Hollan	209.465
LDC8	Plalan	3.575
LDC8	Poapra	1.975
LDF1	Achmil	8.60805
LDF1	Achmil	23.02695
LDF1	Achmil	38.18511
LDF1	Dacglo	54.06921
LDF1	Fespra	2.74725
LDF1	Hollan	116.50671
LDF1	Hollan	42.71391
LDF1	Hollan	113.40981
LDF1	Leuvul	45.33795
LDF1	Leuvul	5.44455
LDF1	Leuvul	6.80985
LDF1	Medsat	2.31435
