Art	Plot	SDW
Achmil	LDF1	0.19
Achmil	LDF1	3.37
Dacglo	LDF1	0
Fespra	LDF1	0
Hollan	LDF1	0.52
Hollan	LDF1	0.32
Leuvul	LDF1	2.6
Leuvul	LDF1	7.37
Lotcor	LDF1	0
Lotcor	LDF1	0.01
Medsat	LDF1	0.6
Plalan	LDF1	8.42
Plalan	LDF1	5.51
Tripra	LDF1	23.29
Tripra	LDF1	67.9
Tripra	LDF1	26.98
Achmil	LDF2	0.05
Achmil	LDF2	0.4
Dacglo	LDF2	0
Fespra	LDF2	0
Hollan	LDF2	0.59
Hollan	LDF2	1.59
Leuvul	LDF2	2.09
Leuvul	LDF2	1.95
Lotcor	LDF2	0.31
Lotcor	LDF2	0.65
Plalan	LDF2	8.89
Plalan	LDF2	5.18
Tripra	LDF2	76.65
Tripra	LDF2	79.35
Achmil	LDF3	0.96
Achmil	LDF3	0.02
Dacglo	LDF3	0
Dacglo	LDF3	0
Fespra	LDF3	0
Hollan	LDF3	0.22
Hollan	LDF3	0
Leuvul	LDF3	2.45
Leuvul	LDF3	5.84
Lotcor	LDF3	0
Lotcor	LDF3	0.34
Plalan	LDF3	7.83
Plalan	LDF3	7.67
Tripra	LDF3	29.23
Tripra	LDF3	56.47
Achmil	LDF4	0.18
Achmil	LDF4	4.26
Dacglo	LDF4	0
Hollan	LDF4	2.42
Hollan	LDF4	0
Leuvul	LDF4	12.72
Leuvul	LDF4	5.9
Lotcor	LDF4	0.12
Plalan	LDF4	27.1
Plalan	LDF4	9.93
Tripra	LDF4	41.68
Tripra	LDF4	26.78
Achmil	LDF5	0.36
Achmil	LDF5	1.54
Dacglo	LDF5	1.3
Dacglo	LDF5	1.06
Hollan	LDF5	1.5
Hollan	LDF5	0.28
Leuvul	LDF5	10.41
Leuvul	LDF5	1.08
Lotcor	LDF5	0
Plalan	LDF5	1.76
Plalan	LDF5	26.29
Tripra	LDF5	36.68
Achmil	LDF6	11.45
Achmil	LDF6	7.77
Dacglo	LDF6	0.17
Dacglo	LDF6	0.15
Hollan	LDF6	1.58
Leuvul	LDF6	0.53
Leuvul	LDF6	3.48
Plalan	LDF6	4.41
Plalan	LDF6	27.91
Tripra	LDF6	67.2
Tripra	LDF6	52.11
Achmil	LDF7	7.58
Achmil	LDF7	13.81
Dacglo	LDF7	0.31
Dacglo	LDF7	0.24
Hollan	LDF7	26.08
Hollan	LDF7	10.34
Leuvul	LDF7	3.81
Leuvul	LDF7	0.99
Lotcor	LDF7	0
Lotcor	LDF7	0.31
Plalan	LDF7	5.59
Plalan	LDF7	5.32
Tripra	LDF7	55.73
Tripra	LDF7	53.95
Tripra	LDF7	40.61
Achmil	LDF8	8.83
Achmil	LDF8	4.96
Dacglo	LDF8	0.13
Hollan	LDF8	1.07
Leuvul	LDF8	5.59
Leuvul	LDF8	6.72
Plalan	LDF8	2.36
Plalan	LDF8	19.35
Tripra	LDF8	39.03
Tripra	LDF8	52.98
Dacglo	LDG1	9.44
Dacglo	LDG1	5.19
Fespra	LDG1	2.43
Fespra	LDG1	1.76
Hollan	LDG1	10.51
Hollan	LDG1	9.69
Lotcor	LDG1	0
Tripra	LDG1	38.88
Tripra	LDG1	73.57
Dacglo	LDG2	2.78
Dacglo	LDG2	17.36
Fespra	LDG2	9.65
Fespra	LDG2	13.5
Hollan	LDG2	12.43
Hollan	LDG2	27.77
Lotcor	LDG2	0.46
Plalan	LDG2	0.07
Plalan	LDG2	0
Tripra	LDG2	55.98
Tripra	LDG2	30.37
Dacglo	LDG3	6.24
Dacglo	LDG3	8.58
Fespra	LDG3	9.34
Fespra	LDG3	8.8
Hollan	LDG3	11.27
Hollan	LDG3	22
Lotcor	LDG3	0
Lotcor	LDG3	0
Plalan	LDG3	0
Plalan	LDG3	0.03
Tripra	LDG3	50.15
Tripra	LDG3	12.38
Achmil	LDG4	2.54
Dacglo	LDG4	3.24
Dacglo	LDG4	2.76
Fespra	LDG4	7.31
Fespra	LDG4	5.41
Hollan	LDG4	25.65
Hollan	LDG4	25.42
Lotcor	LDG4	0.02
Lotcor	LDG4	0
Tripra	LDG4	17.75
Tripra	LDG4	28.47
Tripra	LDG4	26.44
Dacglo	LDG5	15.6
Dacglo	LDG5	34.58
Fespra	LDG5	10.18
Fespra	LDG5	13.37
Hollan	LDG5	23.99
Hollan	LDG5	41.15
Tripra	LDG5	52.68
Achmil	LDG6	1.58
Dacglo	LDG6	4.87
Dacglo	LDG6	3.63
Dacglo	LDG6	16.23
Fespra	LDG6	0
Fespra	LDG6	7.36
Fespra	LDG6	5.21
Hollan	LDG6	25.9
Hollan	LDG6	20.66
Hollan	LDG6	9.48
Plalan	LDG6	0.37
Tripra	LDG6	10.86
Tripra	LDG6	25.69
Dacglo	LDG7	1.52
Dacglo	LDG7	1.63
Fespra	LDG7	1.79
Fespra	LDG7	0.91
Hollan	LDG7	14.03
Hollan	LDG7	25.29
Lotcor	LDG7	0.13
Lotcor	LDG7	0
Plalan	LDG7	0
Plalan	LDG7	0
Tripra	LDG7	47.52
Tripra	LDG7	53.02
Dacglo	LDG8	1.48
Dacglo	LDG8	0.9
Fespra	LDG8	1.81
Fespra	LDG8	0.03
Hollan	LDG8	11.91
Hollan	LDG8	23.55
Plalan	LDG8	0
Tripra	LDG8	54.4
Tripra	LDG8	59.64
Achmil	LDK1	0.73
Dacglo	LDK1	10.63
Dacglo	LDK1	9.78
Fespra	LDK1	5.39
Fespra	LDK1	1.78
Hollan	LDK1	5.4
Hollan	LDK1	5.62
Leuvul	LDK1	2.06
Leuvul	LDK1	0.36
Lotcor	LDK1	0
Medsat	LDK1	0.5
Plalan	LDK1	7.37
Plalan	LDK1	16.16
Tripra	LDK1	62.41
Tripra	LDK1	22.89
Tripra	LDK1	19.41
Achmil	LDK2	4.18
Achmil	LDK2	0
Dacglo	LDK2	4.59
Dacglo	LDK2	17.41
